mediaKey	relativePath
dsh.product.apple.v1	legacy-preview/products/dsh-product-apple-v1.png
dsh.product.bread.v1	legacy-preview/products/dsh-product-bread-v1.png
dsh.product.chicken.v1	legacy-preview/products/dsh-product-chicken-v1.png
dsh.product.choco.v1	legacy-preview/products/dsh-product-choco-v1.png
dsh.product.croissant.v1	legacy-preview/products/dsh-product-croissant-v1.png
dsh.product.milk.v1	legacy-preview/products/dsh-product-milk-v1.png
dsh.product.pasta.v1	legacy-preview/products/dsh-product-pasta-v1.png
dsh.product.roll.v1	legacy-preview/products/dsh-product-roll-v1.png
dsh.product.lead-5.dates-box.v1	legacy-preview/products/dsh-product-lead-5-dates-box-v1.png
dsh.product.salad.v1	legacy-preview/products/dsh-product-salad-v1.png
dsh.product.yogurt.v1	legacy-preview/products/dsh-product-yogurt-v1.png
dsh.store.hadda.cover.v1	legacy-preview/stores/dsh-store-hadda-cover-v1.png
dsh.store.hittin.cover.v1	legacy-preview/stores/dsh-store-hittin-cover-v1.png
dsh.store.malqa.cover.v1	legacy-preview/stores/dsh-store-malqa-cover-v1.png
dsh.store.lead-5.cover.v1	legacy-preview/stores/dsh-store-lead-5-cover-v1.png
dsh.store.hadda.logo.v1	legacy-preview/store_logos/dsh-store-hadda-logo-v1.png
dsh.store.hittin.logo.v1	legacy-preview/store_logos/dsh-store-hittin-logo-v1.png
dsh.store.malqa.logo.v1	legacy-preview/store_logos/dsh-store-malqa-logo-v1.png
dsh.store.lead-5.logo.v1	legacy-preview/store_logos/dsh-store-lead-5-logo-v1.png
dsh.brand.logo.v1	legacy-preview/store_logos/brand-logo.png
dsh.banner.home.promo-1.v1	legacy-preview/banners/dsh-banner-home-promo-1-v1.png
dsh.banner.home.promo-2.v1	legacy-preview/banners/dsh-banner-home-promo-2-v1.png
dsh.banner.home.promo-3.v1	legacy-preview/banners/dsh-banner-home-promo-3-v1.png
dsh.banner.home.promo-4.v1	legacy-preview/banners/dsh-banner-home-promo-4-v1.png
dsh.banner.home.promo-5.v1	legacy-preview/banners/dsh-banner-home-promo-5-v1.png
dsh.banner.home.promo-6.v1	legacy-preview/banners/dsh-banner-home-promo-6-v1.png
dsh.banner.home.promo-7.v1	legacy-preview/banners/dsh-banner-home-promo-7-v1.png
dsh.proof.delivery.preview.v1	legacy-preview/banners/dsh-banner-home-promo-1-v1.png
dsh.category.main.restaurants.v1	legacy-preview/categories/main/dsh-category-main-restaurants-v1.png
dsh.category.main.grocery.v1	legacy-preview/categories/main/dsh-category-main-grocery-v1.png
dsh.category.main.sweets_juices.v1	legacy-preview/categories/main/dsh-category-main-sweets_juices-v1.png
dsh.category.main.anaqati.v1	legacy-preview/categories/main/dsh-category-main-anaqati-v1.png
dsh.category.main.wani_store.v1	legacy-preview/categories/main/dsh-category-main-wani_store-v1.png
dsh.category.main.home_projects.v1	legacy-preview/categories/main/dsh-category-main-home_projects-v1.png
dsh.category.main.cloud_kitchens.v1	legacy-preview/categories/main/dsh-category-main-cloud_kitchens-v1.png
dsh.category.main.awnak.v1	legacy-preview/categories/main/dsh-category-main-awnak-v1.png
dsh.category.main.gas_refill.v1	legacy-preview/categories/main/dsh-category-main-gas_refill-v1.png
dsh.category.main.shein.v1	legacy-preview/categories/main/dsh-category-main-shein-v1.png
dsh.category.main.spare_parts.v1	legacy-preview/categories/main/dsh-category-main-spare_parts-v1.png
dsh.category.main.honey_dates.v1	legacy-preview/categories/main/dsh-category-main-honey_dates-v1.png
dsh.category.main.electronics.v1	legacy-preview/categories/main/dsh-category-main-electronics-v1.png
dsh.category.sub.grocery_vegetables_fruits.v1	legacy-preview/categories/sub/dsh-category-sub-grocery_vegetables_fruits-v1.png
dsh.category.sub.grocery_meat_fish_chicken.v1	legacy-preview/categories/sub/dsh-category-sub-grocery_meat_fish_chicken-v1.png
dsh.category.sub.grocery_roasted_spices.v1	legacy-preview/categories/sub/dsh-category-sub-grocery_roasted_spices-v1.png
dsh.category.sub.grocery_bakeries.v1	legacy-preview/categories/sub/dsh-category-sub-grocery_bakeries-v1.png
dsh.category.sub.grocery_deals_bundle.v1	legacy-preview/categories/sub/dsh-category-sub-grocery_deals_bundle-v1.png
dsh.category.sub.sweets_juices_fresh.v1	legacy-preview/categories/sub/dsh-category-sub-sweets_juices_fresh-v1.png
dsh.category.sub.sweets_juices_sweets.v1	legacy-preview/categories/sub/dsh-category-sub-sweets_juices_sweets-v1.png
dsh.category.sub.sweets_juices_icecream.v1	legacy-preview/categories/sub/dsh-category-sub-sweets_juices_icecream-v1.png
dsh.category.sub.anaqati_perfumes.v1	legacy-preview/categories/sub/dsh-category-sub-anaqati_perfumes-v1.png
dsh.category.sub.anaqati_accessories_beauty.v1	legacy-preview/categories/sub/dsh-category-sub-anaqati_accessories_beauty-v1.png
dsh.category.sub.anaqati_clothing.v1	legacy-preview/categories/sub/dsh-category-sub-anaqati_clothing-v1.png
dsh.category.sub.gas_refill_refill.v1	legacy-preview/categories/sub/dsh-category-sub-gas_refill_refill-v1.png
dsh.category.sub.gas_refill_repair.v1	legacy-preview/categories/sub/dsh-category-sub-gas_refill_repair-v1.png
dsh.category.sub.gas_refill_buy.v1	legacy-preview/categories/sub/dsh-category-sub-gas_refill_buy-v1.png
