"path","layer","ownerKind","ownerId","serviceId","linkedServiceId","classification","status"
"dsh/frontend/app-captain/contracts/dshCaptainBinding.contracts.ts","dsh-captain","service","dsh","dsh","","TYPE_CONTRACT","ACTIVE"
"dsh/frontend/app-captain/data/captain-finance.preview-data.ts","dsh-captain","service","dsh","dsh","","PREVIEW_DATA","ACTIVE"
"dsh/frontend/app-captain/data/captain-orders.preview-data.ts","dsh-captain","service","dsh","dsh","","PREVIEW_DATA","ACTIVE"
"dsh/frontend/app-captain/data/captain-profile.preview-data.ts","dsh-captain","service","dsh","dsh","","PREVIEW_DATA","ACTIVE"
"dsh/frontend/app-captain/data/captain-state.preview-data.ts","dsh-captain","service","dsh","dsh","","PREVIEW_DATA","ACTIVE"
"dsh/frontend/app-captain/data/fixture-locations.ts","dsh-captain","service","dsh","dsh","","SHARED_HELPER","ACTIVE"
"dsh/frontend/app-captain/dsh-captain.routes.ts","dsh-captain","service","dsh","dsh","","ROUTE_REGISTRY","ACTIVE"
"dsh/frontend/app-captain/dsh-captain.screen-registry.ts","dsh-captain","service","dsh","dsh","","SCREEN_REGISTRY","ACTIVE"
"dsh/frontend/app-captain/dsh-captain.types.ts","dsh-captain","service","dsh","dsh","","TYPE_CONTRACT","ACTIVE"
"dsh/frontend/app-captain/DshCaptainSurface.tsx","dsh-captain","service","dsh","dsh","","SURFACE_ENTRY","ACTIVE"
"dsh/frontend/app-captain/index.ts","dsh-captain","service","dsh","dsh","","SHARED_HELPER","ACTIVE"
"dsh/frontend/app-captain/parts/OperationScreen.ts","dsh-captain","service","dsh","dsh","","SCREEN_PART","ACTIVE"
"dsh/frontend/app-captain/screens/DshCaptainEntryScreen.tsx","dsh-captain","service","dsh","dsh","","SCREEN_ENTRY","ACTIVE"
"dsh/frontend/app-captain/screens/DshCaptainFinanceScreen.tsx","dsh-captain","service","dsh","dsh","","SCREEN_ENTRY","ACTIVE"
"dsh/frontend/app-captain/screens/DshCaptainMapScreen.tsx","dsh-captain","service","dsh","dsh","","SCREEN_ENTRY","ACTIVE"
"dsh/frontend/app-captain/screens/DshCaptainOperationsScreen.tsx","dsh-captain","service","dsh","dsh","","SCREEN_ENTRY","ACTIVE"
"dsh/frontend/app-captain/screens/DshCaptainOrdersScreen.tsx","dsh-captain","service","dsh","dsh","","SCREEN_ENTRY","ACTIVE"
"dsh/frontend/app-captain/screens/DshCaptainProfileScreen.tsx","dsh-captain","service","dsh","dsh","","SCREEN_ENTRY","ACTIVE"
"wlt/frontend/app-captain/dsh/index.ts","wlt-dsh-captain-bridge","integration","wlt.dsh","wlt","dsh","WLT_INTEGRATION_BRIDGE","ACTIVE"
"wlt/frontend/app-captain/dsh/useWltDshCaptainFinancePreview.ts","wlt-dsh-captain-bridge","integration","wlt.dsh","wlt","dsh","WLT_INTEGRATION_PART","ACTIVE"
"wlt/frontend/app-captain/dsh/wlt-dsh-captain.adapter.ts","wlt-dsh-captain-bridge","integration","wlt.dsh","wlt","dsh","WLT_INTEGRATION_ADAPTER","ACTIVE"
"wlt/frontend/app-captain/dsh/wlt-dsh-captain.ui-copy.ts","wlt-dsh-captain-bridge","integration","wlt.dsh","wlt","dsh","WLT_INTEGRATION_PART","ACTIVE"
"wlt/frontend/app-captain/dsh/wlt-dsh-captain.contract.ts","wlt-dsh-captain-bridge","integration","wlt.dsh","wlt","dsh","TYPE_CONTRACT","ACTIVE"
"wlt/frontend/app-captain/dsh/wlt-dsh-captain.preview-data.ts","wlt-dsh-captain-bridge","integration","wlt.dsh","wlt","dsh","PREVIEW_DATA","ACTIVE"
"wlt/frontend/app-captain/dsh/wlt-dsh-captain.types.ts","wlt-dsh-captain-bridge","integration","wlt.dsh","wlt","dsh","TYPE_CONTRACT","ACTIVE"
"wlt/frontend/app-captain/dsh/WltDshCaptainBridge.tsx","wlt-dsh-captain-bridge","integration","wlt.dsh","wlt","dsh","WLT_INTEGRATION_BRIDGE","ACTIVE"
"wlt/frontend/app-captain/dsh/WltDshCaptainFinancePreview.tsx","wlt-dsh-captain-bridge","integration","wlt.dsh","wlt","dsh","WLT_INTEGRATION_PART","ACTIVE"
"wlt/frontend/shared/finance/dshFinancePreview.ts","wlt-shared-finance","integration","wlt.dsh","wlt","dsh","SHARED_HELPER","ACTIVE"
"wlt/frontend/shared/finance/index.ts","wlt-shared-finance","integration","wlt.dsh","wlt","dsh","SHARED_HELPER","ACTIVE"
"wlt/frontend/shared/finance/providers.ts","wlt-shared-finance","integration","wlt.dsh","wlt","dsh","SHARED_HELPER","ACTIVE"
"app-captain/composition/index.ts","app-captain-integration","app","app-captain","","","SHARED_HELPER","ACTIVE"
"app-captain/shell/CaptainSurfaceHost.tsx","app-captain-integration","app","app-captain","","","SURFACE_ENTRY","ACTIVE"
"app-captain/shell/index.ts","app-captain-integration","app","app-captain","","","SHARED_HELPER","ACTIVE"
"app-captain/shell/mobile-entry.tsx","app-captain-integration","app","app-captain","","","SHARED_HELPER","ACTIVE"
