"screen_id","canonical_name","surface","canonical_route","target_shell_path","nav_owner","status","source_trace"
"SCR_26","knz_service-catalog_services_knz","control-panel","/service-catalog/services/knz","apps/web/control-panel","packages/surfaces routing contracts","seeded_locked","apps/web/control-panel/app/service-catalog/services/knz/page.tsx"
"SCR_27","knz_auction_get","app-client","no_route_component","apps/mobile/app-client","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/knz/app-client/mobile/auto_knz_auction_get.tsx"
"SCR_28","knz_auctions_list","app-client","no_route_component","apps/mobile/app-client","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/knz/app-client/mobile/auto_knz_auctions_list.tsx"
"SCR_29","knz_cart_get","app-client","no_route_component","apps/mobile/app-client","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/knz/app-client/mobile/auto_knz_cart_get.tsx"
"SCR_30","knz_cart_item_add","app-client","no_route_component","apps/mobile/app-client","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/knz/app-client/mobile/auto_knz_cart_item_add.tsx"
"SCR_31","knz_categories_list","app-client","no_route_component","apps/mobile/app-client","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/knz/app-client/mobile/auto_knz_categories_list.tsx"
"SCR_32","knz_chat_message_send","app-client","no_route_component","apps/mobile/app-client","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/knz/app-client/mobile/auto_knz_chat_message_send.tsx"
"SCR_33","knz_chat_thread_list","app-client","no_route_component","apps/mobile/app-client","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/knz/app-client/mobile/auto_knz_chat_thread_list.tsx"
"SCR_34","knz_favorite_toggle","app-client","no_route_component","apps/mobile/app-client","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/knz/app-client/mobile/auto_knz_favorite_toggle.tsx"
"SCR_35","knz_favorites_list","app-client","no_route_component","apps/mobile/app-client","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/knz/app-client/mobile/auto_knz_favorites_list.tsx"
"SCR_36","knz_home_get","app-client","no_route_component","apps/mobile/app-client","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/knz/app-client/mobile/auto_knz_home_get.tsx"
"SCR_37","knz_listing_create","app-client","no_route_component","apps/mobile/app-client","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/knz/app-client/mobile/auto_knz_listing_create.tsx"
"SCR_38","knz_listing_delete","app-client","no_route_component","apps/mobile/app-client","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/knz/app-client/mobile/auto_knz_listing_delete.tsx"
"SCR_39","knz_listing_get","app-client","no_route_component","apps/mobile/app-client","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/knz/app-client/mobile/auto_knz_listing_get.tsx"
"SCR_40","knz_listing_report","app-client","no_route_component","apps/mobile/app-client","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/knz/app-client/mobile/auto_knz_listing_report.tsx"
"SCR_41","knz_listing_update","app-client","no_route_component","apps/mobile/app-client","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/knz/app-client/mobile/auto_knz_listing_update.tsx"
"SCR_42","knz_listings_list","app-client","no_route_component","apps/mobile/app-client","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/knz/app-client/mobile/auto_knz_listings_list.tsx"
"SCR_43","knz_listings_search","app-client","no_route_component","apps/mobile/app-client","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/knz/app-client/mobile/auto_knz_listings_search.tsx"
"SCR_44","knz_my_listings","app-client","no_route_component","apps/mobile/app-client","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/knz/app-client/mobile/auto_knz_my_listings.tsx"
"SCR_45","knz_delivery_by_seller_notice","app-client","no_route_component","apps/mobile/app-client","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/knz/app-client/mobile/components/KnzDeliveryBySellerNotice.tsx"
"SCR_46","knz_listing_type_badge","app-client","no_route_component","apps/mobile/app-client","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/knz/app-client/mobile/components/KnzListingTypeBadge.tsx"
"SCR_47","knz_policy_disclaimer","app-client","no_route_component","apps/mobile/app-client","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/knz/app-client/mobile/components/KnzPolicyDisclaimer.tsx"
"SCR_48","knz_promoted_badge","app-client","no_route_component","apps/mobile/app-client","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/knz/app-client/mobile/components/KnzPromotedBadge.tsx"
"SCR_49","knz_promotion_sheet","app-client","no_route_component","apps/mobile/app-client","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/knz/app-client/mobile/components/KnzPromotionSheet.tsx"
"SCR_50","knz_ratings_list","app-client","no_route_component","apps/mobile/app-client","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/knz/app-client/mobile/components/KnzRatingsList.tsx"
"SCR_51","knz_rating_submit_sheet","app-client","no_route_component","apps/mobile/app-client","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/knz/app-client/mobile/components/KnzRatingSubmitSheet.tsx"
