"entity_id","entity_type","canonical_name","disposition","target_layer","target_repo_path","owner","phase","wave","proof_class","source_trace"
"ENT_1","operation","knz_auction_close","EXTRACT_PARTIAL","services/knz + contracts/master + packages/api-clients","services/knz + contracts/master","knz-service-owner","post_bootstrap_service_execution","W02-W08","contract+binding+runtime","services/knz/governance/operations/knz_auction_close/OP_SPEC.yaml"
"ENT_2","operation","knz_auction_create","EXTRACT_PARTIAL","services/knz + contracts/master + packages/api-clients","services/knz + contracts/master","knz-service-owner","post_bootstrap_service_execution","W02-W08","contract+binding+runtime","services/knz/governance/operations/knz_auction_create/OP_SPEC.yaml"
"ENT_3","operation","knz_auction_get","EXTRACT_PARTIAL","services/knz + contracts/master + packages/api-clients","services/knz + contracts/master","knz-service-owner","post_bootstrap_service_execution","W02-W08","contract+binding+runtime","services/knz/governance/operations/knz_auction_get/OP_SPEC.yaml"
"ENT_4","operation","knz_auction_winner_confirm","EXTRACT_PARTIAL","services/knz + contracts/master + packages/api-clients","services/knz + contracts/master","knz-service-owner","post_bootstrap_service_execution","W02-W08","contract+binding+runtime","services/knz/governance/operations/knz_auction_winner_confirm/OP_SPEC.yaml"
"ENT_5","operation","knz_bid_place","EXTRACT_PARTIAL","services/knz + contracts/master + packages/api-clients","services/knz + contracts/master","knz-service-owner","post_bootstrap_service_execution","W02-W08","contract+binding+runtime","services/knz/governance/operations/knz_bid_place/OP_SPEC.yaml"
"ENT_6","operation","knz_booking_create","EXTRACT_PARTIAL","services/knz + contracts/master + packages/api-clients","services/knz + contracts/master","knz-service-owner","post_bootstrap_service_execution","W02-W08","contract+binding+runtime","services/knz/governance/operations/knz_booking_create/OP_SPEC.yaml"
"ENT_7","operation","knz_cart_get","EXTRACT_PARTIAL","services/knz + contracts/master + packages/api-clients","services/knz + contracts/master","knz-service-owner","post_bootstrap_service_execution","W02-W08","contract+binding+runtime","services/knz/governance/operations/knz_cart_get/OP_SPEC.yaml"
"ENT_8","operation","knz_cart_init","EXTRACT_PARTIAL","services/knz + contracts/master + packages/api-clients","services/knz + contracts/master","knz-service-owner","post_bootstrap_service_execution","W02-W08","contract+binding+runtime","services/knz/governance/operations/knz_cart_init/OP_SPEC.yaml"
"ENT_9","operation","knz_cart_item_add","EXTRACT_PARTIAL","services/knz + contracts/master + packages/api-clients","services/knz + contracts/master","knz-service-owner","post_bootstrap_service_execution","W02-W08","contract+binding+runtime","services/knz/governance/operations/knz_cart_item_add/OP_SPEC.yaml"
"ENT_10","operation","knz_cart_item_remove","EXTRACT_PARTIAL","services/knz + contracts/master + packages/api-clients","services/knz + contracts/master","knz-service-owner","post_bootstrap_service_execution","W02-W08","contract+binding+runtime","services/knz/governance/operations/knz_cart_item_remove/OP_SPEC.yaml"
"ENT_11","operation","knz_cart_item_update","EXTRACT_PARTIAL","services/knz + contracts/master + packages/api-clients","services/knz + contracts/master","knz-service-owner","post_bootstrap_service_execution","W02-W08","contract+binding+runtime","services/knz/governance/operations/knz_cart_item_update/OP_SPEC.yaml"
"ENT_12","operation","knz_chat_message_send","EXTRACT_PARTIAL","services/knz + contracts/master + packages/api-clients","services/knz + contracts/master","knz-service-owner","post_bootstrap_service_execution","W02-W08","contract+binding+runtime","services/knz/governance/operations/knz_chat_message_send/OP_SPEC.yaml"
"ENT_13","operation","knz_chat_thread_list","EXTRACT_PARTIAL","services/knz + contracts/master + packages/api-clients","services/knz + contracts/master","knz-service-owner","post_bootstrap_service_execution","W02-W08","contract+binding+runtime","services/knz/governance/operations/knz_chat_thread_list/OP_SPEC.yaml"
"ENT_14","operation","knz_deal_create","EXTRACT_PARTIAL","services/knz + contracts/master + packages/api-clients","services/knz + contracts/master","knz-service-owner","post_bootstrap_service_execution","W02-W08","contract+binding+runtime","services/knz/governance/operations/knz_deal_create/OP_SPEC.yaml"
"ENT_15","operation","knz_deal_escrow_hold","EXTRACT_PARTIAL","services/knz + contracts/master + packages/api-clients","services/knz + contracts/master","knz-service-owner","post_bootstrap_service_execution","W02-W08","contract+binding+runtime","services/knz/governance/operations/knz_deal_escrow_hold/OP_SPEC.yaml"
"ENT_16","operation","knz_estimate_create","EXTRACT_PARTIAL","services/knz + contracts/master + packages/api-clients","services/knz + contracts/master","knz-service-owner","post_bootstrap_service_execution","W02-W08","contract+binding+runtime","services/knz/governance/operations/knz_estimate_create/OP_SPEC.yaml"
"ENT_17","operation","knz_estimate_get","EXTRACT_PARTIAL","services/knz + contracts/master + packages/api-clients","services/knz + contracts/master","knz-service-owner","post_bootstrap_service_execution","W02-W08","contract+binding+runtime","services/knz/governance/operations/knz_estimate_get/OP_SPEC.yaml"
"ENT_18","operation","knz_listing_accept","EXTRACT_PARTIAL","services/knz + contracts/master + packages/api-clients","services/knz + contracts/master","knz-service-owner","post_bootstrap_service_execution","W02-W08","contract+binding+runtime","services/knz/governance/operations/knz_listing_accept/OP_SPEC.yaml"
"ENT_19","operation","knz_listing_complete","EXTRACT_PARTIAL","services/knz + contracts/master + packages/api-clients","services/knz + contracts/master","knz-service-owner","post_bootstrap_service_execution","W02-W08","contract+binding+runtime","services/knz/governance/operations/knz_listing_complete/OP_SPEC.yaml"
"ENT_20","operation","knz_listing_create","EXTRACT_PARTIAL","services/knz + contracts/master + packages/api-clients","services/knz + contracts/master","knz-service-owner","post_bootstrap_service_execution","W02-W08","contract+binding+runtime","services/knz/governance/operations/knz_listing_create/OP_SPEC.yaml"
"ENT_21","operation","knz_listing_report","EXTRACT_PARTIAL","services/knz + contracts/master + packages/api-clients","services/knz + contracts/master","knz-service-owner","post_bootstrap_service_execution","W02-W08","contract+binding+runtime","services/knz/governance/operations/knz_listing_report/OP_SPEC.yaml"
"ENT_22","operation","knz_listing_status_update","EXTRACT_PARTIAL","services/knz + contracts/master + packages/api-clients","services/knz + contracts/master","knz-service-owner","post_bootstrap_service_execution","W02-W08","contract+binding+runtime","services/knz/governance/operations/knz_listing_status_update/OP_SPEC.yaml"
