"screen_id","canonical_name","target_component_path","local_vs_shared","status"
"SCR_1","amn_captain_captains_nearby","packages/surfaces/src/amn/amn_captain_captains_nearby.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_2","amn_captain_offers_list","packages/surfaces/src/amn/amn_captain_offers_list.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_3","amn_captain_status_update","packages/surfaces/src/amn/amn_captain_status_update.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_4","amn_captain_tier_evaluate","packages/surfaces/src/amn/amn_captain_tier_evaluate.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_5","amn_captain_tier_info","packages/surfaces/src/amn/amn_captain_tier_info.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_6","amn_captain_trip_assigned_get","packages/surfaces/src/amn/amn_captain_trip_assigned_get.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_7","amn_home","packages/surfaces/src/amn/amn_home.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_8","amn_control_panel_finance_analytics","packages/surfaces/src/amn/amn_control_panel_finance_analytics.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_9","amn_control_panel_operations","packages/surfaces/src/amn/amn_control_panel_operations.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_10","amn_quote_create","packages/surfaces/src/amn/amn_quote_create.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_11","amn_trip_create","packages/surfaces/src/amn/amn_trip_create.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_12","amn_trip_estimate_get","packages/surfaces/src/amn/amn_trip_estimate_get.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_13","amn_trip_estimate","packages/surfaces/src/amn/amn_trip_estimate.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_14","amn_trip_get","packages/surfaces/src/amn/amn_trip_get.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_15","amn_trip_rate","packages/surfaces/src/amn/amn_trip_rate.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_16","amn_trip_receipt_get","packages/surfaces/src/amn/amn_trip_receipt_get.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_17","amn_trip_status_update","packages/surfaces/src/amn/amn_trip_status_update.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_18","amn_trip_track","packages/surfaces/src/amn/amn_trip_track.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_19","amn_trips_list","packages/surfaces/src/amn/amn_trips_list.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_20","amn_control_operations_hub","packages/surfaces/src/amn/amn_control_operations_hub.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_21","amn_control_support_hub","packages/surfaces/src/amn/amn_control_support_hub.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_22","amn_control_finance_hub","packages/surfaces/src/amn/amn_control_finance_hub.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_23","amn_control_analytics_hub","packages/surfaces/src/amn/amn_control_analytics_hub.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_24","amn_control_security_hub","packages/surfaces/src/amn/amn_control_security_hub.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_25","amn_control_quality_hub","packages/surfaces/src/amn/amn_control_quality_hub.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_26","amn_trip_track_get","packages/surfaces/src/amn/amn_trip_track_get.tsx","service_local_composition_on_shared_primitives","ready"

