"path","layer","ownerKind","ownerId","serviceId","linkedServiceId","classification","status"
"dsh/frontend/app-client/contracts/dsh-client-binding.contracts.ts","dsh-client","service","dsh","dsh","","TYPE_CONTRACT","ACTIVE"
"dsh/frontend/app-client/data/categories.preview-data.ts","dsh-client","service","dsh","dsh","","PREVIEW_DATA","ACTIVE"
"dsh/frontend/app-client/data/client-state.preview-data.ts","dsh-client","service","dsh","dsh","","PREVIEW_DATA","ACTIVE"
"dsh/frontend/app-client/data/discovery.preview-data.ts","dsh-client","service","dsh","dsh","","PREVIEW_DATA","ACTIVE"
"dsh/frontend/app-client/data/home.preview-data.ts","dsh-client","service","dsh","dsh","","PREVIEW_DATA","ACTIVE"
"dsh/frontend/app-client/data/items.preview-data.ts","dsh-client","service","dsh","dsh","","PREVIEW_DATA","ACTIVE"
"dsh/frontend/app-client/data/loyalty-commercial.preview-data.ts","dsh-client","service","dsh","dsh","","PREVIEW_DATA","ACTIVE"
"dsh/frontend/app-client/data/my-space-orders.preview-data.ts","dsh-client","service","dsh","dsh","","PREVIEW_DATA","ACTIVE"
"dsh/frontend/app-client/data/notifications.preview-data.ts","dsh-client","service","dsh","dsh","","PREVIEW_DATA","ACTIVE"
"dsh/frontend/app-client/data/preferences.preview-data.ts","dsh-client","service","dsh","dsh","","PREVIEW_DATA","ACTIVE"
"dsh/frontend/app-client/data/store.preview-data.ts","dsh-client","service","dsh","dsh","","PREVIEW_DATA","ACTIVE"
"dsh/frontend/app-client/data/subscriptions-commercial.preview-data.ts","dsh-client","service","dsh","dsh","","PREVIEW_DATA","ACTIVE"
"dsh/frontend/app-client/data/surface-catalog.preview-data.ts","dsh-client","service","dsh","dsh","","PREVIEW_DATA","ACTIVE"
"dsh/frontend/app-client/data/surface-meta.preview-data.ts","dsh-client","service","dsh","dsh","","PREVIEW_DATA","ACTIVE"
"dsh/frontend/app-client/dsh-client.routes.ts","dsh-client","service","dsh","dsh","","ROUTE_REGISTRY","ACTIVE"
"dsh/frontend/app-client/dsh-client.screen-registry.ts","dsh-client","service","dsh","dsh","","SCREEN_REGISTRY","ACTIVE"
"dsh/frontend/app-client/dsh-client.types.ts","dsh-client","service","dsh","dsh","","TYPE_CONTRACT","ACTIVE"
"dsh/frontend/app-client/DshClientSurface.tsx","dsh-client","app","app-client","dsh","","SURFACE_ENTRY","ACTIVE"
"dsh/frontend/app-client/index.ts","dsh-client","service","dsh","dsh","","SHARED_HELPER","ACTIVE"
"dsh/frontend/app-client/parts/ApprovedVideoReelsViewer.tsx","dsh-client","service","dsh","dsh","","SCREEN_PART","ACTIVE"
"dsh/frontend/app-client/parts/AwnakOrderCreateScreen.tsx","dsh-client","service","dsh","dsh","","SCREEN_PART","ACTIVE"
"dsh/frontend/app-client/parts/CartDetails.tsx","dsh-client","service","dsh","dsh","","SCREEN_PART","ACTIVE"
"dsh/frontend/app-client/parts/LoyaltyRewardsScreen.tsx","dsh-client","service","dsh","dsh","","SCREEN_PART","ACTIVE"
"dsh/frontend/app-client/parts/MySpaceCommercialScreen.tsx","dsh-client","service","dsh","dsh","","SCREEN_PART","ACTIVE"
"dsh/frontend/app-client/parts/MySpaceOrdersScreen.tsx","dsh-client","service","dsh","dsh","","SCREEN_PART","ACTIVE"
"dsh/frontend/app-client/parts/OperationScreen.tsx","dsh-client","service","dsh","dsh","","SCREEN_PART","ACTIVE"
"dsh/frontend/app-client/parts/SheinOrderCreateScreen.tsx","dsh-client","service","dsh","dsh","","SCREEN_PART","ACTIVE"
"dsh/frontend/app-client/parts/SubscriptionsScreen.tsx","dsh-client","service","dsh","dsh","","SCREEN_PART","ACTIVE"
"dsh/frontend/app-client/screens/BellScreen.tsx","dsh-client","service","dsh","dsh","","SCREEN_ENTRY","ACTIVE"
"dsh/frontend/app-client/screens/BenefitsScreen.tsx","dsh-client","service","dsh","dsh","","SCREEN_ENTRY","ACTIVE"
"dsh/frontend/app-client/screens/CartScreen.tsx","dsh-client","service","dsh","dsh","wlt","SCREEN_ENTRY","ACTIVE"
"dsh/frontend/app-client/screens/EntryScreen.tsx","dsh-client","service","dsh","dsh","","SCREEN_ENTRY","ACTIVE"
"dsh/frontend/app-client/screens/FavoritesScreen.tsx","dsh-client","service","dsh","dsh","","SCREEN_ENTRY","ACTIVE"
"dsh/frontend/app-client/screens/FavoriteToggleScreen.tsx","dsh-client","service","dsh","dsh","","SCREEN_ENTRY","ACTIVE"
"dsh/frontend/app-client/screens/HomeScreen.tsx","dsh-client","service","dsh","dsh","","SCREEN_ENTRY","ACTIVE"
"dsh/frontend/app-client/screens/MySpaceScreen.tsx","dsh-client","service","dsh","dsh","","SCREEN_ENTRY","ACTIVE"
"dsh/frontend/app-client/screens/NotificationsScreen.tsx","dsh-client","service","dsh","dsh","","SCREEN_ENTRY","ACTIVE"
"dsh/frontend/app-client/screens/OperationScreens.tsx","dsh-client","service","dsh","dsh","","SCREEN_ENTRY","ACTIVE"
