path,surface,area,file_name,detected_role,classification,imports_count,exports_count,route_reference,screen_id_guess,owner_guess,used_by_guess,duplication_risk,dead_risk,notes
dsh/frontend/app-client/screens/HomeScreen.tsx,app-client,screens,HomeScreen.tsx,REAL_SCREEN_CANDIDATE,REAL_SCREEN,TBD,1,dsh-home,client.dsh.home.feed,dsh,dsh-client.screen-registry,LOW,LOW,P0 TAB_ROOT VERIFIED
dsh/frontend/app-client/screens/EntryScreen.tsx,app-client,screens,EntryScreen.tsx,REAL_SCREEN_CANDIDATE,REAL_SCREEN,TBD,1,dsh-entry,client.dsh.entry,dsh,dsh-client.screen-registry,LOW,LOW,P1 SCREEN_ENTRY VERIFIED
dsh/frontend/app-client/screens/MySpaceScreen.tsx,app-client,screens,MySpaceScreen.tsx,REAL_SCREEN_CANDIDATE,REAL_SCREEN,TBD,1,dsh-my-space,client.dsh.my-space.home,dsh,dsh-client.screen-registry,LOW,LOW,P1 SCREEN_ENTRY VERIFIED
dsh/frontend/app-client/screens/NotificationsScreen.tsx,app-client,screens,NotificationsScreen.tsx,REAL_SCREEN_CANDIDATE,REAL_SCREEN,TBD,1,dsh-notifications,client.dsh.notifications.list,dsh,dsh-client.screen-registry,LOW,LOW,P1 SCREEN_ENTRY VERIFIED
dsh/frontend/app-client/screens/StoreItemsScreen.tsx,app-client,screens,StoreItemsScreen.tsx,REAL_SCREEN_CANDIDATE,REAL_SCREEN,TBD,1,dsh-store-items,client.dsh.store.items,dsh,dsh-client.screen-registry,LOW,LOW,P1 FLOW_STEP VERIFIED
dsh/frontend/app-client/screens/CartScreen.tsx,app-client,screens,CartScreen.tsx,REAL_SCREEN_CANDIDATE,REAL_SCREEN,TBD,1,dsh-cart,client.dsh.cart.review,dsh,dsh-client.screen-registry,LOW,LOW,P0 FLOW_STEP VERIFIED linkedServiceId=wlt
dsh/frontend/app-client/screens/FavoriteToggleScreen.tsx,app-client,screens,FavoriteToggleScreen.tsx,REAL_SCREEN_CANDIDATE,REAL_SCREEN,TBD,1,dsh-favorite-toggle,client.dsh.favorites.toggle,dsh,dsh-client.screen-registry,LOW,LOW,P2 FLOW_STEP VERIFIED
dsh/frontend/app-client/screens/FavoritesScreen.tsx,app-client,screens,FavoritesScreen.tsx,REAL_SCREEN_CANDIDATE,REAL_SCREEN,TBD,1,dsh-favorites,client.dsh.favorites.list,dsh,dsh-client.screen-registry,LOW,LOW,P2 SCREEN_ENTRY VERIFIED
dsh/frontend/app-client/screens/SearchScreen.tsx,app-client,screens,SearchScreen.tsx,REAL_SCREEN_CANDIDATE,REAL_SCREEN,TBD,1,dsh-search,client.dsh.discovery.search,dsh,dsh-client.screen-registry,LOW,LOW,P1 SCREEN_ENTRY VERIFIED
dsh/frontend/app-client/screens/StoreScreen.tsx,app-client,screens,StoreScreen.tsx,REAL_SCREEN_CANDIDATE,REAL_SCREEN,TBD,1,dsh-store,client.dsh.store.details,dsh,dsh-client.screen-registry,LOW,LOW,P0 FLOW_STEP VERIFIED
dsh/frontend/app-client/screens/BellScreen.tsx,app-client,screens,BellScreen.tsx,REAL_SCREEN_CANDIDATE,REAL_SCREEN,TBD,1,dsh-bell,client.dsh.bell,dsh,dsh-client.screen-registry,LOW,LOW,P2 MODAL VERIFIED
