"screen_id","canonical_name","target_component_path","local_vs_shared","status"
"SCR_1","arb_amendment_create","packages/surfaces/src/arb/arb_amendment_create.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_2","arb_booking_accept_screen","packages/surfaces/src/arb/arb_booking_accept_screen.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_3","arb_booking_activate_screen","packages/surfaces/src/arb/arb_booking_activate_screen.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_4","arb_booking_approve_screen","packages/surfaces/src/arb/arb_booking_approve_screen.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_5","arb_booking_assign_screen","packages/surfaces/src/arb/arb_booking_assign_screen.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_6","arb_booking_complete_screen","packages/surfaces/src/arb/arb_booking_complete_screen.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_7","arb_booking_create","packages/surfaces/src/arb/arb_booking_create.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_8","arb_booking_rate_screen","packages/surfaces/src/arb/arb_booking_rate_screen.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_9","arb_booking_status_update","packages/surfaces/src/arb/arb_booking_status_update.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_10","arb_booking_verify_screen","packages/surfaces/src/arb/arb_booking_verify_screen.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_11","arb_bookings_list","packages/surfaces/src/arb/arb_bookings_list.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_12","arb_partner_bookings_list","packages/surfaces/src/arb/arb_partner_bookings_list.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_13","arb_control_quality_hub","packages/surfaces/src/arb/arb_control_quality_hub.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_14","arb_control_analytics_hub","packages/surfaces/src/arb/arb_control_analytics_hub.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_15","arb_control_operations_hub","packages/surfaces/src/arb/arb_control_operations_hub.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_16","arb_control_security_hub","packages/surfaces/src/arb/arb_control_security_hub.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_17","arb_control_finance_hub","packages/surfaces/src/arb/arb_control_finance_hub.tsx","service_local_composition_on_shared_primitives","ready"
"SCR_18","arb_control_support_hub","packages/surfaces/src/arb/arb_control_support_hub.tsx","service_local_composition_on_shared_primitives","ready"
